"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00604722"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604841-K ","  "
" FIT00604642"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604835-J ","  "
" FIT00604706"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604840-L ","  "
" FIT00767278"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604865-L ","  "
" FIT00663172"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604847-X ","  "
" FIT00208014"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154343-K ","  "
" FIT00719677"," 1"," E3 "," Photovoltaic "," Domestic"," 0.35 "," 2015-12-02"," Deemed "," PV-R/0-4/06M-2 "," England"," London "," Tower Hamlets "," MCS-00909690-R ","  "
" FIT00207994"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154332-J ","  "
" FIT00208050"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2010-03-04"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00153480-G ","  "
" FIT00208083"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154329-M ","  "
" FIT00208067"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2010-03-04"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00177224-P ","  "
" FIT00016711"," 1"," SY22 "," Photovoltaic "," Domestic"," 0.35 "," 2010-10-20"," Deemed "," PV-R/0-4/01 "," Wales"," N/A "," Powys "," MCS-00018597-W ","  "
" FIT00208089"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154331-U ","  "
" FIT00208093"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154333-Q ","  "
" FIT00081808"," 1"," KY12 "," Photovoltaic "," Domestic"," 0.35 "," 2011-01-28"," Deemed "," PV-R/0-4/02 "," Scotland"," N/A "," Fife "," MCS-00050375-J ","  "
" FIT00045689"," 1"," BR8 "," Photovoltaic "," Commercial"," 0.35 "," 2011-05-02"," Deemed "," PV-N/0-4/02 "," England"," South East "," Sevenoaks "," MCS-00065225-S ","  "
" FIT00208022"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154344-Y ","  "
" FIT00208105"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154336-J ","  "
" FIT00208074"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2010-03-04"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00153482-D ","  "
